"year","month","state","primary_mode","etiology","etiology_status","setting","illnesses","hospitalizations","deaths","food_contaminated_ingredient","ifsac_category","water_exposure","etiology_category","setting_category"
2001,10,"Florida","Food","","","Restaurant: Other",4,0,0,,,,"Unknown","Food Service"
2001,10,"Florida","Food","","","Caterer",3,1,0,,,,"Unknown","Food Service"
2001,10,"Georgia","Food","Norovirus Genogroup I","Confirmed","Hospital",58,0,0,,,,"Viral","Healthcare"
2001,10,"Florida","Food","Clostridium perfringens","Suspected","Caterer",79,0,0,,"Multiple",,"Bacterial","Food Service"
2001,10,"Georgia","Food","Escherichia coli, Shiga toxin-producing","Confirmed","Correctional/detention facility",28,0,0,,,,"Bacterial","Institution"
2001,10,"Massachusetts","Food","Hepatitis A","Confirmed","Restaurant: Other",53,0,0,,,,"Viral","Food Service"
2001,10,"Texas","Food","","","Restaurant: Other",14,1,0,"Vine-stalk eg. tomato","Seeded Vegetables",,"Unknown","Food Service"
2001,10,"Illinois","Food","Bacillus cereus;Clostridium perfringens","Suspected;Suspected","Caterer",5,0,0,,,,"Bacterial","Food Service"
2001,10,"Oregon","Food","Norovirus Genogroup I","Confirmed","School/college/university",25,1,0,,,,"Viral","School"
2001,11,"Florida","Food","Staphylococcus aureus","Suspected","Restaurant: Other",2,0,0,,"Multiple",,"Bacterial","Food Service"
2001,11,"New York","Food","","","Religious facility;Caterer",11,0,0,,,,"Unknown","Food Service"
2001,11,"Illinois","Food","Norovirus Genogroup I","Suspected","Grocery store/bakery/deli/convenience store",14,0,0,,,,"Viral","Store"
2001,11,"Maryland","Food","Clostridium perfringens","Confirmed","Private home/residence;Restaurant: Other",25,0,0,"chicken","Chicken",,"Bacterial","Food Service"
2001,11,"Minnesota","Food","Norovirus Genogroup I","Suspected","Restaurant: Other",4,0,0,,"Multiple",,"Viral","Food Service"
2001,11,"Minnesota","Food","Norovirus Genogroup I","Suspected","Restaurant: Other",22,0,0,,"Multiple",,"Viral","Food Service"
2001,11,"Maryland","Food","","","Restaurant: Other",2,0,0,,,,"Unknown","Food Service"
2001,11,"Connecticut","Food","","","Restaurant: Other",11,0,0,,,,"Unknown","Food Service"
2001,11,"Maryland","Food","","","Restaurant: Other",5,0,0,,"Multiple",,"Unknown","Food Service"
2001,11,"Minnesota","Food","Norovirus Genogroup I","Confirmed","Restaurant: Other",4,0,0,,"Multiple",,"Viral","Food Service"
